gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18
acpP.t01	18438.4000	20257.6000	37886.9000	22522.7000	23115.0000	15339.5000	17150.0000	5001.4400	12862.3000
acpS.t01	35.2478	37.6037	16.5276	23.2385	21.2326	25.7423	48.8405	45.0550	35.8215
acpT.t01	115.7600	131.9400	169.2060	133.2460	114.2500	114.2090	142.2670	121.8410	131.9110
acrA.t01	201.1700	222.5250	343.4060	259.3960	263.2030	176.5580	132.8920	96.0601	118.3790
acrB.t01	90.3276	93.7397	104.6930	93.8686	95.1885	91.1732	77.9933	75.2501	75.4575
acrD.t01	59.6674	62.6635	50.3231	46.2431	49.0198	62.6953	50.1741	65.1049	54.5895
acrE.t01	40.3515	27.6519	25.7909	24.8129	28.0953	38.4620	37.3502	61.8940	38.5082
acrF.t01	41.7302	32.8991	30.1307	33.4109	36.6449	39.3910	48.5648	66.2826	47.1753
acrR.t01	351.1790	395.3200	698.5590	695.8020	703.1750	612.0090	346.4080	163.8730	297.5750
acrS.t01	70.2932	72.8237	116.9580	57.4486	64.9865	58.3021	131.9890	81.7037	72.1501
acrZ.t01	1142.2200	1716.8600	3396.8000	2739.6900	2676.6100	2308.4900	2681.7100	1438.9900	2230.5200
acs.t01	74.9381	70.9038	72.0946	877.4830	846.9000	548.6580	903.8440	249.3820	787.5260
actP.t01	66.5246	56.9608	52.9932	132.0240	138.1310	97.7634	125.0200	91.8087	120.5510
acuI.t01	48.2396	44.1566	49.8226	64.2517	63.4905	60.7108	63.8758	56.7868	64.5846
ada.t01	57.5789	47.0169	68.4184	68.8609	77.1149	83.8580	64.1446	59.4848	76.7632
add.t01	65.0547	63.6995	100.9100	129.2090	106.5350	99.3793	50.5267	58.8424	75.9256
ade.t01	96.6846	97.1351	91.4339	69.3933	74.1465	93.7062	129.1230	143.0620	129.2400
adhE.t01	1041.5000	1085.6100	1726.5400	1085.3500	1095.9100	601.4640	257.7270	88.6595	257.1790
adhP.t01	52.6480	44.2848	46.9808	106.9080	109.7610	89.5925	61.1038	67.9775	76.7199
adiA.t01	88.0889	93.5868	73.1401	83.6008	78.2382	94.4761	100.3410	118.0940	112.9650
adiC.t01	67.5087	69.6007	64.6780	53.5623	60.3292	75.5442	56.6950	98.9874	90.4897
adiY.t01	96.9717	108.5810	103.8880	349.2360	375.0330	312.6930	103.1810	108.6080	83.5244
adk.t01	282.1740	307.7530	390.5130	370.6280	305.0990	246.8720	155.5560	105.2650	161.7350
aegA.t01	50.4199	50.6511	30.2585	45.8134	44.0542	58.8002	53.2559	59.4005	54.9387
aer.t01	78.2545	83.5979	55.2402	68.3155	71.5702	85.3446	89.5522	106.6820	103.9450
aes.t01	73.8413	69.4712	73.8402	56.9029	72.3597	86.5395	68.2790	73.9879	71.9278
afuC.t01	54.1761	52.8198	33.3367	40.5270	37.7926	54.4419	51.0771	70.7143	57.6910
agaB.t01	69.8063	92.3598	71.2871	44.4778	48.6661	64.1033	84.6995	107.1900	61.1903
agaC.t01	66.8130	60.4087	64.6710	41.7636	45.7152	53.8181	74.5422	94.9515	81.1780
agaD.t01	68.2899	57.1634	54.9741	52.7318	46.6300	69.2024	86.7842	94.7229	78.8250
agaI.t01	73.9752	71.3509	52.1183	52.5912	45.8264	68.0716	84.3752	103.1330	92.5881
agaR.t01	86.0773	84.1050	86.4037	106.0070	101.6090	105.5570	126.2490	118.0940	123.4510
agaS.t01	67.2679	62.3939	52.8063	50.7672	54.6617	50.1504	70.7578	90.9020	80.6092
agaV.t01	65.2026	75.1111	33.7815	46.1690	59.3625	76.6805	85.9429	92.9025	67.8494
agp.t01	145.8980	156.0170	211.9290	461.3500	413.7420	281.4040	193.0850	78.3533	129.0360
agrA.r01	89.7922	66.5183	94.2413	27.8424	33.4974	86.5395	59.8720	130.8760	72.3903
agrB.r01	78.8420	64.8127	89.9576	35.7974	75.3692	30.2201	59.8720	123.1990	109.3900
ahpC.t01	3931.8600	4036.0800	6213.7700	6817.2400	6381.5300	2983.6700	3791.8500	671.7180	2310.3600
ahpF.t01	230.1710	231.6930	300.4330	387.0200	325.5570	234.2350	238.8840	105.3610	179.9990
ahr.t01	62.4638	55.7630	55.3856	65.5115	73.6205	70.4759	81.1912	93.2691	87.8336
aidB.t01	65.3568	60.9736	49.4601	80.4450	69.5443	95.3034	77.4286	105.7230	94.9058
ais.t01	41.8980	28.2739	43.2632	32.6906	35.2890	44.7766	56.0196	59.8380	44.3706
alaA.t01	88.2567	101.5130	107.3880	113.8380	91.8292	87.3447	68.8184	64.9716	70.1160
alaC.t01	64.4891	60.6499	73.1858	57.3027	52.9430	46.0054	58.7896	60.9954	64.3470
alaE.t01	59.8226	59.2184	67.9679	95.7778	80.8963	77.6932	49.1749	62.6450	63.0600
alaS.t01	223.6800	230.3430	392.9960	197.9760	198.6550	138.6740	142.5050	93.0705	136.0530
alaT.r01	807.6690	891.6690	1351.7300	1329.8400	1073.6800	642.2140	856.9580	327.6900	476.5060
alaU.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
alaV.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
alaW.r01	696.3220	1090.5500	1919.8800	1439.7400	1293.5100	830.4750	1099.6000	554.7710	926.3420
alaX.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
aldA.t01	169.2730	176.8490	309.8540	873.0910	808.9630	534.6220	699.6710	179.3450	388.6820
aldB.t01	107.4620	103.7990	86.7427	95.9559	94.8441	121.9090	150.4850	154.3800	140.1330
alkA.t01	44.2035	43.1161	30.3037	41.7144	46.3993	47.0242	46.6988	62.5741	51.7277
alkB.t01	47.0979	47.2066	44.7715	55.4282	56.9997	59.3768	50.9878	60.0487	55.0063
allA.t01	60.6867	67.7790	78.2240	108.9480	130.7130	95.5577	71.6729	81.5075	77.2164
allB.t01	63.7978	72.6344	51.1213	59.1191	59.5244	79.1266	61.5425	81.1900	65.0840
allC.t01	88.0629	95.5715	68.2688	58.2528	76.9750	82.9920	58.1863	75.8019	80.9023
allD.t01	62.8984	69.9295	46.6066	56.4803	45.0540	71.7591	64.5820	75.8935	72.4547
allE.t01	71.7758	83.5743	66.3809	55.2597	46.5384	81.3280	58.5466	78.3337	53.8108
allR.t01	86.2710	78.1315	74.3032	100.1100	88.1463	91.3472	63.7901	66.9864	80.9778
allS.t01	69.3919	77.3536	61.5244	74.7870	69.8134	93.6033	68.7204	79.5038	66.3253
alpA.t01	40.3052	35.9857	14.3594	20.3916	11.5590	33.0448	28.7273	43.2512	41.2364
alr.t01	84.9984	75.6812	83.9604	68.5232	70.8331	81.9454	87.5462	83.7371	94.2147
alsA.t01	88.6822	77.8501	61.0280	53.1784	54.8348	72.8595	84.5863	113.7590	87.5295
alsB.t01	88.1825	85.9469	81.6922	61.3960	49.9777	73.1024	87.1343	112.9580	105.1000
alsC.t01	76.3862	65.6473	60.8887	41.5507	60.2339	86.6865	66.1339	101.0780	84.9892
alsE.t01	72.5990	75.0316	74.9646	48.2441	51.0403	69.9610	72.7411	103.9940	111.8310
alsK.t01	59.7390	64.7797	51.4596	56.0440	61.2679	64.3928	68.4987	90.5071	68.8720
alsR.t01	96.9720	92.2172	80.5681	72.5590	58.8179	94.1477	99.4373	119.7660	111.0150
alx.t01	75.8584	78.9025	72.2640	45.8275	48.9718	65.2182	79.9161	106.3670	96.6603
amiA.t01	104.1760	109.8410	125.5270	107.7210	98.0378	97.6139	81.2195	73.7353	71.2920
amiB.t01	91.2032	86.4119	93.1847	102.3800	112.5090	106.6760	107.6890	109.5680	117.7580
amiC.t01	76.5297	74.7199	62.1238	68.3404	76.8518	89.2539	83.9545	95.2106	97.6288
amiD.t01	51.8761	55.9461	51.3115	104.5350	99.6760	57.9013	67.1777	53.3608	73.3370
amn.t01	134.3590	133.1770	183.8720	229.3980	187.3440	141.7150	111.4730	79.4196	108.4740
ampC.t01	118.0470	112.2540	131.2080	101.0580	131.3530	121.6950	100.0080	107.9130	96.5204
ampD.t01	84.5393	112.9030	144.7140	166.1460	140.4980	128.7640	140.9160	82.9459	86.6586
ampE.t01	49.0572	41.2216	45.8731	39.4678	56.3580	52.4972	45.0966	68.9232	60.3733
ampG.t01	95.4721	101.8710	118.4810	95.6375	73.7522	89.2756	66.7841	80.4950	93.0154
ampH.t01	72.3361	79.9864	114.6610	71.4092	54.6720	80.8100	82.4455	86.6888	75.1493
amtB.t01	54.3651	51.8756	45.1535	76.8424	67.7757	82.3929	57.7693	69.6008	66.4619
amyA.t01	67.0498	60.2736	50.4198	268.9930	258.0010	168.1160	97.5656	65.6680	94.2631
anmK.t01	64.4152	55.6947	65.9689	57.0393	71.1368	71.2067	67.8873	51.5402	53.3210
ansA.t01	166.1770	185.7440	271.7300	168.5330	184.8530	134.9010	90.9089	58.4274	98.7223
ansB.t01	71.1611	83.4717	57.3941	40.3675	51.7339	65.7931	97.7509	108.1100	111.2520
ansP.t01	49.7522	44.3660	40.6608	40.9840	41.7378	67.3085	50.0690	64.6104	62.5195
apaG.t01	311.7990	379.9690	586.8660	698.7110	675.9970	395.3040	319.0960	121.2900	273.8320
apaH.t01	81.1074	94.5788	109.4860	119.4940	102.8470	90.2009	81.5339	79.6669	94.0931
apbE.t01	59.6375	64.7837	56.3939	61.3798	50.2937	68.5104	53.1024	64.7027	61.2941
aphA.t01	114.2260	97.4198	122.2110	102.2450	94.5810	99.0639	151.5580	102.0170	116.5820
appA.t01	42.9581	52.2236	48.7530	42.9532	38.5839	51.2530	50.5248	53.1900	44.9389
appY.t01	52.1642	63.9941	60.6914	43.8796	55.8067	70.9239	52.5277	72.3079	45.7636
apt.t01	154.6370	144.8280	185.4560	128.0140	120.1080	86.9575	82.3023	85.1712	98.1641
aqpZ.t01	48.5462	50.4328	36.7068	38.6433	34.6164	33.1569	33.1189	51.8424	43.6838
araA.t01	49.0817	54.0957	57.4579	48.6825	53.3552	52.5110	55.8806	75.0036	75.2513
araB.t01	56.7431	55.6320	29.9330	44.9800	38.0465	44.7027	57.8516	72.8624	63.1554
araC.t01	95.7146	110.1010	111.9610	108.7090	104.2360	70.0980	156.2940	85.4873	99.6170
araD.t01	44.5815	42.8164	45.4958	39.6034	42.7020	49.2380	51.6654	73.1971	64.0696
araE.t01	76.4034	70.2721	57.8163	61.6889	54.7786	69.3617	73.7789	102.4690	84.2768
araF.t01	41.3765	49.0592	30.5311	44.3791	31.0866	46.3875	49.8692	59.2144	60.3302
araG.t01	57.5168	54.5656	58.5466	60.8673	56.0667	63.1386	51.3990	57.3020	52.9811
araH.t01	59.0849	53.9259	45.5712	53.8230	66.8167	68.9744	55.9655	63.7191	70.3709
araJ.t01	78.5019	84.5113	57.0870	63.1564	57.2849	85.2006	73.0691	90.3370	82.4456
arcA.t01	264.3580	329.6020	513.3980	890.4910	870.4780	574.3550	543.9590	199.4540	358.0810
arcB.t01	94.4357	93.2759	125.9480	115.7300	116.6390	104.3260	100.0690	86.6194	86.9056
arcZ.r01	53.2129	75.1873	77.3189	82.8369	72.6701	71.5202	89.3627	54.0569	52.4880
arfA.t01	73.0818	120.0460	120.7650	193.7530	153.3770	158.5900	217.7810	133.6300	157.3420
arfB.t01	44.2153	44.8778	67.2023	77.4058	76.9134	68.4678	71.1387	51.5436	52.3903
argA.t01	69.3780	75.1308	54.7039	50.5427	59.6767	75.8845	77.9055	103.8140	92.3176
argB.t01	40.7232	31.3461	37.5113	47.2998	43.2298	43.9566	55.5569	64.4204	63.4774
argC.t01	48.9962	35.0691	33.6558	60.5053	66.4949	60.8503	56.1308	72.6612	55.9338
argD.t01	67.2980	65.4749	81.0428	72.1029	74.3199	77.9635	82.5851	94.5143	90.9711
argE.t01	78.4617	73.4384	92.3002	111.8050	99.3801	91.4474	85.8581	78.9034	89.3820
argF.t01	48.4471	52.6750	35.4460	42.2207	44.6216	48.5654	51.0431	66.7334	54.3204
argG.t01	78.6595	79.4169	89.1544	161.4610	173.7680	132.2130	121.4280	96.9004	98.7324
argH.t01	45.7903	35.1919	27.2361	42.1891	38.0137	45.5161	57.4667	57.5502	47.8949
argI.t01	62.2368	61.0859	38.8473	40.5585	56.5207	76.6943	67.4737	91.1778	84.8420
argK.t01	71.0492	69.9090	60.6943	42.6022	40.0809	59.0832	77.9298	97.5823	81.8098
argO.t01	78.0018	78.3932	71.0042	66.9793	67.1924	69.6670	77.8901	106.0790	85.6240
argP.t01	106.7980	106.3310	108.0700	102.7740	102.0940	78.8600	90.5715	110.3990	116.5370
argQ.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
argR.t01	628.5780	734.6020	1064.5900	970.0500	971.9060	576.9300	983.4270	260.7930	489.4470
argS.t01	145.7010	165.2900	272.8820	173.7980	165.3140	127.7630	92.7153	67.3848	98.1904
argT.t01	57.0925	55.3503	75.5965	221.4590	229.5410	153.4060	173.7440	76.6336	109.5870
argU.r01	350.4090	506.0980	964.9990	765.8470	940.9730	557.4490	449.5840	137.5890	324.6600
argV.r01	1370.5800	1561.0900	2738.4500	2490.6300	1971.0200	1165.8500	1004.7600	344.9700	823.0560
argW.r01	300.8840	494.7600	1000.3300	518.9820	447.8610	392.3120	130.7600	79.8417	122.5170
argX.r01	183.1680	219.5570	310.7620	351.4650	372.2780	278.7250	170.9070	144.3690	208.8350
argY.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
argZ.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ariR.t01	39.5030	31.9273	10.7814	32.5349	27.0050	34.5726	37.9862	33.0086	24.7989
arnA.t01	43.8806	48.4070	34.7491	61.6661	53.9202	60.3987	55.5001	53.6273	54.8555
arnB.t01	48.6269	41.8500	52.5542	75.0279	68.4934	58.4015	59.4098	58.6152	49.5472
arnC.t01	55.6260	51.7488	50.8738	82.0618	86.3881	87.7600	55.7940	56.6314	43.6484
arnD.t01	41.3628	39.0737	27.4618	40.8730	48.3570	54.7792	37.6300	50.3879	45.1945
arnE.t01	38.3260	39.2288	45.5142	61.6510	36.6378	39.1488	33.6780	42.6810	40.6190
arnF.t01	96.4982	151.6000	278.9380	217.9910	259.4750	125.2250	221.7890	74.5094	111.0360
arnT.t01	44.5536	40.0429	37.8769	35.6746	41.9174	49.9796	45.3332	52.3324	53.0541
aroA.t01	70.3478	75.4847	79.4485	69.2157	55.6073	61.1078	53.7263	48.9325	58.8294
aroB.t01	136.3260	134.6530	180.0800	185.1560	176.1850	132.7630	151.0160	118.6600	160.9380
aroC.t01	67.5327	79.4847	96.0873	102.9090	82.7488	65.0241	60.5887	53.7820	74.7811
aroD.t01	50.6569	44.8309	52.8604	44.9000	37.3040	41.6545	35.4499	53.4463	33.6486
aroE.t01	60.7225	53.7045	77.3262	91.9921	92.9769	58.0452	62.1236	52.9429	69.9567
aroF.t01	56.7983	41.8708	71.5629	50.6934	56.6501	46.4345	42.8105	47.6825	46.5569
aroG.t01	190.7780	201.7760	310.4520	308.8840	312.3090	181.1330	226.9450	86.2342	174.9100
aroH.t01	91.9530	88.0558	108.0870	102.9130	121.1040	70.9728	69.4104	69.1598	148.9380
aroK.t01	162.3490	154.3860	214.7260	207.0580	205.5090	147.4380	143.7160	120.8920	152.9900
aroL.t01	77.7907	93.6032	76.4211	107.2330	77.0441	100.2210	117.8280	96.0440	116.0820
aroM.t01	84.6563	89.3854	83.3235	95.1076	73.4053	98.0270	81.8428	90.5398	71.7497
aroP.t01	55.3857	50.3636	51.9842	63.8308	61.9483	66.5947	74.1210	71.1164	71.4982
arpA.t01	46.9655	41.1730	23.9393	34.5261	38.9195	49.4888	57.8735	61.1078	39.3585
arrS.r01	55.1005	61.2532	117.3360	46.0005	35.6821	26.7562	91.1096	71.6528	33.2926
arsB.t01	112.0430	108.1750	87.4471	80.0307	81.5234	94.0083	105.3930	140.0920	118.0540
arsC.t01	102.9220	117.0380	96.2926	100.3890	105.2690	108.3440	117.0740	154.6230	128.4670
arsR.t01	114.3280	98.1442	58.4470	62.2915	63.5884	76.5980	109.6300	139.1420	112.2250
artI.t01	84.5265	81.8128	107.4080	254.6890	269.7980	133.5140	100.8830	63.3465	101.1620
artJ.t01	76.1493	82.4000	77.1767	89.2326	99.4627	74.8748	57.1402	61.9201	56.6728
artM.t01	54.6302	51.7186	61.3164	62.6766	60.9864	50.3628	49.3653	51.5478	59.7879
artP.t01	127.6060	133.1490	195.7100	344.4210	332.9070	197.5330	131.9980	63.2702	119.5580
artQ.t01	54.3085	58.1473	54.9532	89.7014	94.6758	56.3251	60.7906	58.6328	75.5740
ascB.t01	54.9527	62.4859	49.1137	49.9405	49.3646	62.6728	58.0570	80.3374	68.6548
ascF.t01	52.1948	57.1411	42.5725	46.6331	43.4226	58.2470	55.8806	78.7507	63.3010
ascG.t01	80.7309	76.8076	114.2490	74.3565	93.4101	82.5164	78.8463	87.5689	93.1599
asd.t01	116.7000	109.3990	93.2169	137.6990	122.8160	127.7190	141.5990	128.1460	160.3430
aslA.t01	46.2874	37.1586	35.6354	46.3031	46.5141	50.7252	64.1310	86.3951	58.5068
aslB.t01	58.1463	39.2370	26.0557	38.2495	45.1036	44.8101	71.6139	83.3796	61.8793
asmA.t01	67.7051	62.3233	74.5279	71.4531	70.4774	71.1982	72.4729	67.3464	60.9318
asnA.t01	61.1363	45.8811	34.6060	57.7036	58.7976	50.3143	90.9958	93.7022	99.7475
asnB.t01	60.9164	61.7396	59.8637	50.2668	59.4655	58.8364	48.7319	56.7505	58.0282
asnC.t01	95.2554	103.1610	123.4710	121.1960	122.9880	99.5487	86.1948	94.6674	76.8378
asnS.t01	168.5140	167.8640	305.1240	165.1470	150.5050	95.6196	75.5644	59.1810	90.3751
asnT.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
asnU.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
asnV.r01	159.7590	146.0980	134.9360	123.0930	199.0010	144.2320	162.1270	198.3920	131.5730
asnW.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
aspA.t01	483.9580	461.2170	879.7940	608.9290	595.0170	386.3060	780.6360	204.4450	328.5590
aspC.t01	313.8670	339.5900	493.2180	513.0860	512.5230	279.6970	234.5010	90.1913	243.9350
aspS.t01	263.4790	260.6820	404.9870	283.5120	276.3400	163.4150	112.0920	68.8816	128.9550
aspT.r01	1072.7300	1144.3000	1885.6000	1603.2900	1749.4800	900.6100	1866.9200	535.2030	1212.6500
aspU.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
aspV.r01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
asr.t01	63.7029	59.8119	40.7575	75.6881	65.4501	84.3923	52.6254	59.0316	52.0398
astA.t01	41.5920	37.2364	26.2485	213.3780	204.7470	141.1390	126.7440	61.2090	105.8830
astB.t01	37.0940	35.1780	33.1986	104.7820	127.3160	76.8381	53.5730	48.5073	67.8659
astC.t01	37.1646	35.6709	24.6076	445.0680	439.2940	280.4800	218.3050	77.8146	215.8070
astD.t01	33.2521	34.7762	14.4759	79.1786	66.7061	59.7604	49.4764	43.9343	58.9303
astE.t01	36.8942	30.7536	27.6650	121.5410	133.3930	92.8803	56.1401	43.0044	56.1990
atoA.t01	41.9172	49.9575	23.4912	33.8728	45.3836	46.2607	34.2494	57.8317	50.0246
atoB.t01	41.8125	49.3889	27.3289	53.9931	28.0488	56.3785	45.9777	59.3695	65.7968
atoC.t01	71.1436	64.6060	85.5441	63.1576	77.2725	78.3392	74.8098	64.0311	73.7065
atoD.t01	48.0953	42.6785	27.4079	34.7715	42.7054	62.6530	46.5250	59.7030	42.1895
atoE.t01	44.3109	45.8616	32.9096	43.6892	38.5486	50.2361	51.8891	63.5057	50.0476
atoS.t01	59.8111	58.4216	64.6001	61.2624	58.6205	55.3878	72.7640	71.5016	66.0481
atpA.t01	2294.2700	2415.1100	3861.7600	3199.9300	2972.3100	1379.9900	2272.7300	594.4910	1946.9200
atpB.t01	352.8990	333.6830	566.2030	434.4230	402.8000	247.8820	331.8930	170.8900	365.8080
atpC.t01	114.6130	106.6000	80.1051	139.6100	154.0880	111.8140	209.9510	103.0920	132.8760
atpD.t01	460.9530	441.5690	770.3960	791.9080	599.1750	315.3720	544.6840	200.9030	487.3620
atpE.t01	1924.2200	1427.0300	2261.6800	1770.7800	1943.2700	866.8370	1041.4700	379.6320	2169.3800
atpF.t01	5419.7300	4429.8200	5965.4700	5595.4300	5662.6700	2460.8300	2224.5400	805.0670	3649.0500
atpG.t01	446.3550	514.2140	762.9730	668.0240	654.5960	327.1940	801.4400	240.0510	510.3300
atpH.t01	9170.2100	9693.8200	13866.3000	12043.6000	10629.1000	5024.9100	7841.6400	1602.8700	5746.7600
atpI.t01	170.2840	198.7360	333.3860	334.9860	304.6420	165.9620	252.1220	147.5770	258.1990
avtA.t01	209.3930	203.4800	256.5300	314.6590	289.5970	223.3190	288.8940	197.5960	260.2360
azoR.t01	66.3811	74.7086	82.8322	54.5821	60.3617	77.6856	53.5291	65.4199	66.2264
azuC.t01	40.1762	36.2293	41.3598	51.8445	28.2996	42.4408	40.4652	39.5326	65.2345
bacA.t01	102.0530	95.4264	77.7006	64.4236	85.1495	87.7326	99.2186	117.6410	108.0040
baeR.t01	207.5430	250.0790	360.8260	210.7240	207.7260	159.4340	118.3690	76.3674	112.5140
baeS.t01	48.7428	43.7260	34.8554	33.5537	43.7149	45.4476	49.2537	52.4054	49.6627
bamA.t01	239.9930	260.0120	413.0730	329.8520	342.3990	236.7480	180.7330	95.6212	162.8990
bamB.t01	211.4270	212.0500	411.4090	390.7850	358.5840	214.6240	229.1390	84.2591	139.0250
bamC.t01	75.0670	77.1721	72.3137	65.8533	60.6595	49.2759	71.3489	62.8705	60.1877
bamD.t01	422.1050	459.7070	729.4120	598.0460	605.5070	314.7320	276.5630	96.9518	218.6230
bamE.t01	131.9670	149.9730	237.2560	336.5510	303.3870	177.8020	159.5540	67.1633	102.3340
barA.t01	98.1322	108.0110	113.3520	97.0091	101.2940	97.7244	100.3600	102.8290	95.2321
basR.t01	97.1612	107.0780	134.4660	151.8220	129.3330	122.2850	126.5460	111.8630	135.5330
basS.t01	78.5050	69.0767	69.6924	95.0007	99.3650	79.8826	82.4392	95.4434	100.3570
bax.t01	233.3190	236.3530	308.1460	398.7030	422.7070	314.4090	402.0350	225.7160	333.6450
bcp.t01	502.5500	567.1490	1076.8200	534.1480	523.8510	338.3180	330.3000	138.8720	319.0300
bcr.t01	82.5858	89.6792	123.4180	183.4650	174.6800	146.0010	109.6500	78.4081	110.0540
bcsA.t01	111.1700	104.7310	75.6344	70.9933	73.7960	97.8512	102.5760	144.9820	130.0720
bcsB.t01	116.0130	112.7790	101.7210	88.0248	101.0830	100.0010	102.4480	139.7490	139.4020
bcsC.t01	105.8740	106.7100	84.0536	114.9760	114.5580	120.9000	131.5460	140.8310	134.2730
bcsE.t01	183.9260	176.1260	175.6800	266.3090	288.0680	226.5150	217.6570	183.8990	189.6270
bcsF.t01	132.2250	153.3440	142.4330	166.1840	179.5250	154.4490	151.4890	130.1910	78.8250
bcsG.t01	154.9460	150.3490	129.9030	149.2550	150.2150	143.9580	140.4500	156.6670	160.8670
bcsZ.t01	103.3660	109.2320	68.0980	79.8300	77.6841	92.1420	99.5704	139.2000	120.1140
bdcA.t01	48.9542	58.2913	46.1127	45.3901	56.8964	63.8340	68.9115	103.7370	81.0015
bdcR.t01	97.7634	97.8049	88.7460	92.5267	127.0110	115.9690	97.6499	118.6980	133.7640
bdm.t01	38.6099	49.4150	45.8117	463.2660	413.6000	422.5480	64.8059	72.3637	68.8155
bepA.t01	210.1850	219.8960	319.7670	316.5360	311.0010	179.7780	215.7360	96.0475	159.7730
betA.t01	77.3216	69.4917	63.2018	58.3840	71.0392	75.4739	94.2545	91.2062	96.3934
betB.t01	84.0933	90.1153	98.9350	129.6290	109.3610	99.9542	142.8310	98.0249	170.4470
betI.t01	90.5223	73.4626	77.4125	118.7560	109.4650	92.8190	170.4930	97.0864	150.5260
betT.t01	73.5014	68.8881	64.5713	64.4728	67.5260	80.9517	87.9418	94.3746	96.3971
bfd.t01	69.4977	83.3906	137.4740	80.5288	98.3021	42.0123	153.4570	97.0069	103.9450
bfr.t01	90.3753	94.1619	98.8213	3486.0800	3602.4000	2522.2800	966.8390	266.2030	387.8220
bglA.t01	307.2890	357.5790	536.1220	361.3710	366.0120	236.3010	240.5190	148.9780	242.7620
bglB.t01	72.5616	66.5654	49.9128	43.6257	47.4191	57.8155	84.3547	116.5310	84.8260
bglF.t01	144.2590	158.9860	208.2720	144.9050	140.7450	111.2080	142.8700	145.0060	142.6120
bglG.t01	66.4500	59.5676	50.7288	39.9174	38.6601	63.4140	93.9354	118.3940	83.4665
bglH.t01	75.3910	75.0906	52.4057	41.2212	46.1134	74.1410	89.3674	119.0160	78.9713
