ID_gene,S1_A_Ct_T1,S1_B_Ct_T1,S2_Ct_T1,S1_A_LI_T1,S1_B_LI_T1,S2_LI_T1
CpCp13_RS00560,0.169757,0.946446,1.042462,1.829859,0.663766,0
CpCp13_RS00565,0.74693,0.594909,0.786314,2.070355,1.564591,1.487815
CpCp13_RS00570,16.354163,17.264998,14.611276,0.779166,2.208092,1.574804
CpCp13_RS00575,4.426255,6.309637,3.9073,4.472989,3.245077,3.857299
CpCp13_RS00580,1.846806,2.371314,2.268213,2.654301,2.166356,1.71671
CpCp13_RS00585,2.455662,2.696721,1.926888,3.088201,1.100214,2.140008
CpCp13_RS00590,2.418632,2.740185,2.096837,3.220552,1.947046,2.479692
CpCp13_RS00595,2.930993,3.498254,2.322446,2.445989,2.957539,2.307055
CpCp13_RS00600,17738.625699,16481.67803,16061.254601,17937.708727,15349.336743,16858.757513
CpCp13_RS00605,1.802936,1.740589,1.441073,1.295624,1.342791,0.299273
CpCp13_RS00610,18774.604745,17547.301117,13629.084313,16688.417233,19281.087029,18816.869401
CpCp13_RS00615,837.005574,571.415001,391.617048,846.9939,968.473234,178.63247
CpCp13_RS00620,12.167193,12.076816,12.245386,1.420832,1.536272,0.883601
CpCp13_RS00625,4.369543,4.088645,2.660362,4.830828,4.380854,2.733861
CpCp13_RS00630,1.46358,1.355719,1.528944,3.046468,3.354708,1.055545
CpCp13_RS00635,1.29901,3.291984,3.589694,7.701321,10.793409,5.660167
CpCp13_RS00640,11.870138,10.989,10.611695,8.094902,6.630482,2.533307
CpCp13_RS00645,5.228513,5.464694,4.48047,10.921873,13.364779,5.999777
CpCp13_RS00650,0,0,0,0,0,0
CpCp13_RS00655,23.175308,21.781212,18.84999,26.801171,24.154709,17.655068
CpCp13_RS00660,0.058659,0.297313,0.144089,0,0.286705,0
CpCp13_RS00665,0.722836,0.052338,0.25365,0.222619,0.403765,0.719911
CpCp13_RS00670,0.211395,0.21429,0.086544,0,0.619932,0
CpCp13_RS00675,2.021106,1.692467,1.18718,0.947221,1.030789,0.306315
CpCp13_RS00680,7.908676,2.672317,5.666085,7.104159,7.408797,2.297362
CpCp13_RS00685,1.948514,2.13979,1.329516,1.40024,1.587266,1.132033
CpCp13_RS00690,548.525105,762.561947,352.884389,844.673073,689.39533,491.674689
CpCp13_RS00695,1.634238,1.943333,1.621152,1.626085,1.843277,0.65731
CpCp13_RS00700,6.56667,4.838024,4.794693,5.40002,5.426436,3.303759
CpCp13_RS00705,3.80717,4.245222,4.18604,4.455618,5.741896,4.170938
CpCp13_RS00710,1.002459,0.866745,0.724236,1.017017,0.691714,0.61666
CpCp13_RS00715,3.596332,1.542356,1.245806,4.17479,0.811269,0.964325
CpCp13_RS00720,0.907203,1.057567,1.225631,1.173481,0.620769,0.948708
CpCp13_RS00725,0.402537,1.292153,0.988778,1.157085,1.705123,0
CpCp13_RS00730,32119.454492,28900.493198,15495.549498,16244.757879,16108.837558,12029.552872
CpCp13_RS00740,5.748969,4.569428,4.787421,4.366055,4.725703,4.32681
CpCp13_RS00745,6.910852,4.776454,3.00073,3.611834,13.306332,2.920011
CpCp13_RS00750,3.096791,2.591311,2.571496,3.653038,2.341786,1.934936
CpCp13_RS00755,36.328417,45.324031,32.796055,44.1799,39.154139,16.235241
CpCp13_RS00760,1.647641,1.670198,1.011801,2.841664,1.449547,0
CpCp13_RS00765,0.06173,0.062575,0.050544,0,0,0
CpCp13_RS00770,0,0,0.041698,0,0.19913,0
CpCp13_RS00775,0.112603,0.028536,0.023049,0,0,0
CpCp13_RS00780,0.14742,0.149439,0.181059,0.317818,0.432321,0
CpCp13_RS00785,0.462019,0.643973,0.472869,0.249012,0.338726,0.40263
CpCp13_RS10540,12.199764,0,0,8.766987,3.975187,14.175457
CpCp13_RS00790,3.734652,4.597021,4.2592,3.450592,2.998799,2.324711
CpCp13_RS00795,3.146097,2.798658,2.391986,2.076287,1.129733,0.895247
CpCp13_RS00800,1.516325,1.408994,1.310523,2.542541,1.811631,0.880943
CpCp13_RS00805,1.287811,0.391633,0.579944,0.555268,0.251773,0
CpCp13_RS00810,0.642674,0.651473,0.999806,1.20078,0.711993,0.298701
CpCp13_RS00815,1.851089,2.320849,2.273473,3.570612,2.761843,1.35844
CpCp13_RS00820,1.005483,2.475319,0.823277,0.619337,1.544532,0.500707
CpCp13_RS00825,0.4755,0.361507,0.559666,1.409526,1.278233,0.621567
CpCp13_RS00830,0.483624,1.715858,0.989964,1.390166,2.048601,0.561945
CpCp13_RS00835,1.044437,0.721865,0.95235,1.637569,2.45959,0.661952
CpCp13_RS00845,0.411154,0.416783,0.336648,0.886391,1.456935,0.358304
CpCp13_RS00850,1.433268,1.151681,1.101984,0.753639,0.922645,0.731142
CpCp13_RS00855,0.471746,0.518054,0.418448,0.339006,0.307428,0.548142
CpCp13_RS00860,1.754356,1.212528,2.056728,1.54724,2.338534,1.667836
CpCp13_RS00865,1.238628,1.198514,0.829778,0.48551,0.330215,0.392514
CpCp13_RS00870,4.494803,2.311672,3.490862,3.70506,2.843032,3.225794
CpCp13_RS00875,5.899137,4.696899,4.604854,10.487358,10.500279,5.908147
CpCp13_RS00880,7.469305,7.35399,6.221219,5.182498,6.378255,5.686191
CpCp13_RS00885,6.188852,3.569452,6.639984,2.300394,2.711957,2.97563
CpCp13_RS00890,5.211143,6.101272,6.122886,1.123448,1.426325,0.181652
CpCp13_RS00895,0.786243,0.464921,0.536471,1.412523,2.561903,0.913571
CpCp13_RS00900,24.976353,3.164787,12.781456,0,12.20749,0
CpCp13_RS10845,0.311221,0.157741,0.445942,1.006423,0.760565,0.542433
CpCp13_RS00910,1.07558,1.181164,0.733893,1.159399,3.855152,2.49953
CpCp13_RS00915,1.545373,2.153979,1.897999,3.956282,1.699469,1.346729
CpCp13_RS00920,0.50167,0.211891,0.376531,0.721019,0,0.582913
CpCp13_RS00925,0.257562,0.417741,0.295244,0.111054,0.251773,0
CpCp13_RS00930,0.535647,1.13121,0.730969,1.15478,1.134484,0
CpCp13_RS00935,0.299571,0.151836,0.1717,0.904166,0.644243,0.208851
CpCp13_RS00940,0.890381,0.601714,0.850538,1.919534,0.435184,0.517287
CpCp13_RS00945,1.126655,1.840017,1.281238,2.428908,1.590813,1.745482
CpCp13_RS00950,2.218881,3.373888,4.54198,2.391796,9.760539,3.867326
CpCp13_RS00955,9.50176,1.203981,8.752414,5.121111,4.644098,8.280393
CpCp13_RS00960,3.931213,1.992517,3.057887,3.390055,3.458569,1.370356
CpCp13_RS00965,1.45912,1.901695,1.344048,1.460483,1.069743,1.089911
CpCp13_RS00970,1.948514,1.975191,1.329516,4.20072,1.269813,0
CpCp13_RS00975,0.980653,0.981652,1.344935,0.528537,0.766889,1.025518
CpCp13_RS00980,4.538312,4.169152,3.297873,4.647379,2.495423,1.581981
CpCp13_RS00985,1.219083,1.29462,0.665447,0.750906,1.021443,1.618866
CpCp13_RS00990,1.393238,1.471159,1.045702,1.001208,0.680962,0
CpCp13_RS00995,2.321541,1.688254,2.231431,0.87042,1.578686,0
CpCp13_RS10545,0,0.147498,0,0.62738,0.568942,0
CpCp13_RS10550,0.066756,0.575198,0.109319,0.719587,0.587304,0.232702
CpCp13_RS01015,11806.808395,11806.944833,4895.428117,14245.452679,15016.98299,2046.137329
CpCp13_RS01020,2.240791,2.864026,2.83187,3.780648,3.238023,2.37727
CpCp13_RS01025,13.886595,10.557533,9.561281,10.205975,16.351075,9.901306
CpCp13_RS01030,2.025574,1.652269,1.839915,2.183425,2.444121,1.103253
CpCp13_RS01035,7.468984,6.19465,8.339335,1.463825,1.327475,0
CpCp13_RS10850,124.630265,126.33653,127.557153,313.46603,192.896004,253.423678
CpCp13_RS01040,14.405088,10.546107,11.532603,17.943077,23.155943,11.158614
CpCp13_RS01045,8.848253,8.911149,9.267751,10.404861,11.232959,8.812444
CpCp13_RS01050,5.099732,9.164203,4.998064,10.661138,12.538306,4.848226
CpCp13_RS01055,6.656642,3.373888,6.358772,4.783592,8.676035,3.867326
CpCp13_RS01060,2.529926,3.175172,0.64117,2.337498,3.297417,0.839896
CpCp13_RS01065,2.259622,3.340396,2.466867,6.089279,4.969876,2.625556
CpCp13_RS01070,3.544755,3.721616,2.746916,5.731491,5.445129,3.089108
CpCp13_RS01075,1.555123,1.719724,1.938913,2.895449,2.902143,2.956857
CpCp13_RS01080,0.401936,0.713017,0.699337,0,0.196451,0.35027
CpCp13_RS01085,11.470718,10.681314,10.265764,8.626479,11.473665,3.719538
CpCp13_RS01090,0.322416,0.408538,0.989964,0.347542,1.103093,0
CpCp13_RS01095,1.077304,0.546026,0.52925,1.393508,1.369017,1.126591
CpCp13_RS10555,0,0,0,0,0,0
CpCp13_RS01100,0,0.130544,0.070296,0.185089,0.083924,0.598546
CpCp13_RS01105,0.230218,0.038895,0.09425,0,0.075015,0
CpCp13_RS01110,0,0,0,0,0,0
CpCp13_RS01115,0.358527,0.454294,0.220168,0,0.175234,0
CpCp13_RS01120,0,0,0,0,14.059691,0
CpCp13_RS01125,0,0,0.866535,0,0,0
CpCp13_RS01130,0,0.405437,0,0,0,0
CpCp13_RS01135,0.223123,0.113089,0.117444,0.068717,0.592007,0
CpCp13_RS01140,1535.312773,1710.652011,1548.826091,2667.485458,2482.343872,2777.541179
CpCp13_RS01145,4.676652,4.1576,4.3923,6.631606,6.967318,2.6153
CpCp13_RS01150,1.636752,2.48874,1.882595,2.268389,1.790436,1.901816
CpCp13_RS01155,0.946813,1.119738,1.270531,1.587596,0.925533,0.73343
CpCp13_RS01160,0.845582,0.785728,0.951984,0.607651,1.446508,0.73689
CpCp13_RS01165,168.488511,136.636178,165.547575,181.618662,131.761229,117.464643
CpCp13_RS01170,4.066588,6.183393,9.989016,0,3.975187,0
CpCp13_RS01175,0.528942,0.389952,1.003984,2.902644,3.57237,1.843805
CpCp13_RS01180,2.396568,1.275424,2.403794,14.208319,15.110433,8.354043
CpCp13_RS01185,1.515511,1.097328,0.753393,1.633613,1.904719,1.886722
CpCp13_RS01190,1.067044,0.811239,0.995027,0.511199,1.390747,0.619923
CpCp13_RS01195,2.578689,2.073166,3.130694,5.175888,2.781495,1.859769
CpCp13_RS01200,1.314598,1.544599,1.41886,3.220552,2.803747,0.833177
CpCp13_RS01205,1.210247,1.505638,0.840794,1.818479,2.186842,1.150561
CpCp13_RS01210,6.876075,6.396195,7.020997,16.916619,14.708283,10.997479
CpCp13_RS10560,0,0,0,0,0,0
CpCp13_RS01215,47.4214,40.499064,49.305469,51.054491,44.317942,31.284487
CpCp13_RS01220,0.855264,1.011468,0.79365,0.737531,1.058985,0.596262
CpCp13_RS01225,8.435921,11.090115,10.468767,0.568333,0,0
CpCp13_RS01230,10.728407,9.737623,10.372935,0.574122,0.743778,0.53046
CpCp13_RS01235,22.676272,21.830588,19.281169,1.735627,1.311633,0.935453
CpCp13_RS01240,88.970308,72.484724,53.151906,31.257496,30.922879,22.973026
CpCp13_RS01245,2.158269,2.12347,3.014574,2.873864,3.350795,4.425513
CpCp13_RS01250,40.656725,36.634081,19.110481,55.187119,41.214878,36.74291
CpCp13_RS01255,4.111544,8.544059,5.302208,7.091124,9.043047,5.732866
CpCp13_RS01260,2.352831,2.725763,2.201679,1.932331,1.314256,2.343309
CpCp13_RS01265,3.897029,4.060114,4.91921,8.168067,4.444345,4.150789
CpCp13_RS01270,56.581025,82.847056,84.934382,81.320441,132.127774,98.61607
CpCp13_RS01275,4.437931,4.019321,4.423015,5.489578,5.973892,3.043258
CpCp13_RS01280,1.70495,3.518308,2.69227,2.887995,3.690393,1.69805
CpCp13_RS01285,19.508066,17.503675,17.699771,19.323313,19.327297,10.108392
CpCp13_RS01290,1.358055,2.217933,1.389949,0.650617,1.770042,1.314988
CpCp13_RS01295,0.13832,0.070107,0.207634,0.397599,0.135212,0
CpCp13_RS01300,2.168508,2.864316,1.883156,0.991666,3.276005,1.145312
CpCp13_RS01305,22.812876,21.209502,20.226266,19.206908,17.417854,15.527951
CpCp13_RS01310,9.30268,9.361207,8.311894,11.418322,11.483148,7.100936
CpCp13_RS01315,6.767491,4.344757,5.972115,6.484333,4.263247,3.669611
CpCp13_RS01320,0.491402,0.199252,0.281648,0.423757,0.384285,0
CpCp13_RS01325,4.557542,5.004932,3.109716,4.503315,4.640735,4.633662
CpCp13_RS01330,9.166874,9.729195,10.071783,12.161526,10.569193,5.189146
CpCp13_RS01335,4.481583,4.788503,1.983494,4.178014,6.156876,2.955525
CpCp13_RS10565,0,0,0,0,0,0
CpCp13_RS01340,713.511492,617.801587,392.519052,945.370242,428.6562,595.887745
CpCp13_RS10570,369.92216,217.492242,169.617111,542.299791,303.750494,257.897553
CpCp13_RS01345,3.079761,2.906619,3.304257,5.036883,4.152468,1.110573
CpCp13_RS01350,0.933663,1.597127,1.337826,0.503211,1.711271,1.627298
CpCp13_RS01355,1.014698,1.585743,1.488556,0.729182,1.570495,1.473779
CpCp13_RS01360,8.92948,13.577596,8.529906,25.66759,5.819187,20.751132
CpCp13_RS01365,3.433471,5.556551,4.266246,7.791659,7.595836,4.199479
CpCp13_RS01370,4.397815,3.661948,3.386539,3.386095,2.354197,3.285013
CpCp13_RS01375,3.734652,3.265237,2.828546,5.635966,4.517756,2.929136
CpCp13_RS01380,3.01134,3.097458,3.589694,2.673186,6.579939,1.852418
CpCp13_RS01385,4.037462,4.092737,6.363711,8.704195,7.104088,6.333268
CpCp13_RS01390,2.564931,2.12861,1.811654,2.552136,2.920569,1.866787
CpCp13_RS01395,1.684806,1.238207,1.345011,4.177032,3.046835,1.761886
CpCp13_RS01400,2.542323,1.648164,1.452295,3.314025,2.022822,2.267054
CpCp13_RS01405,1.257587,1.564532,1.497741,0.246471,0.447026,0
CpCp13_RS01410,3.682638,4.33414,4.522947,5.113412,5.125233,2.610929
CpCp13_RS01415,8.216235,6.719763,7.109588,4.428259,5.110996,6.509192
CpCp13_RS01420,8.202897,8.51801,10.811816,19.840902,16.037055,4.881894
CpCp13_RS01425,3.61418,4.88488,3.994982,3.376385,5.181655,2.099739
CpCp13_RS01430,2.720608,2.105998,2.936382,6.078526,4.593611,2.758863
CpCp13_RS01435,0.786243,1.062676,0.321883,0.847514,3.586664,1.370356
CpCp13_RS01440,1.15903,1.044354,1.054444,3.60924,3.398939,1.346729
CpCp13_RS01445,1.912871,1.569715,1.081448,7.069505,6.500048,2.857694
CpCp13_RS01450,0.836116,1.059454,0.753062,4.50637,4.16835,3.788933
CpCp13_RS01455,2.231864,2.579158,2.485295,15.012136,14.92283,8.402303
CpCp13_RS01460,16.286722,7.075585,13.81163,27.587892,9.09752,12.165607
CpCp13_RS01465,0.772464,3.915197,2.213694,4.995968,7.551019,5.385364
CpCp13_RS01470,3.216447,2.336679,2.370228,2.311401,1.362467,1.868667
CpCp13_RS01475,1.453073,1.162868,1.377615,1.648747,1.943724,1.599528
CpCp13_RS01480,1.77396,2.508081,1.834732,0.805138,1.369017,0.32546
CpCp13_RS01485,0.057309,0,0.023462,0.494202,0,0.199771
CpCp13_RS01490,2.13003,1.640985,1.464995,0.918408,1.915583,0.593995
CpCp13_RS01495,2.560904,2.271469,2.33878,2.548129,1.396096,1.201697
CpCp13_RS01500,2.273267,4.11498,2.393129,1.40024,5.714157,3.3961
CpCp13_RS01505,0.618149,0.509122,0.695933,0.499741,0.679788,1.077383
CpCp13_RS01510,8.81378,9.994465,7.094298,9.661657,7.009367,4.686618
CpCp13_RS01515,2.730376,2.242837,2.81377,11.366655,6.994641,5.251113
CpCp13_RS01520,0.391975,0.662236,0.34769,0.281681,0.957913,0.227727
CpCp13_RS01525,5.841752,5.170465,4.140641,8.082709,6.221836,4.862898
CpCp13_RS01530,1953.572989,1562.97874,991.463709,3863.557914,3345.857892,2138.625526
CpCp13_RS01535,7430.559686,6822.348803,6909.243625,9906.146044,10970.464048,4287.179274
CpCp13_RS01540,61069.566057,63062.354737,50529.872007,29409.263668,27709.854662,52456.984009
CpCp13_RS01545,3313.858803,3038.88887,3769.314083,4824.182646,4141.057966,5120.797466
CpCp13_RS01550,57.683007,50.618178,23.967531,57.538026,38.713129,33.012062
CpCp13_RS01555,19.058278,16.918933,17.165151,22.909083,24.952803,16.910478
CpCp13_RS01560,66.121713,69.447379,57.748952,74.442273,75.049057,62.74434
CpCp13_RS01565,28.228152,33.408298,34.788432,36.701748,30.011695,26.374907
CpCp13_RS01570,4.321085,4.255094,3.613867,4.391662,5.310126,2.151799
CpCp13_RS01575,2.106727,1.876712,1.620419,3.578391,2.308997,1.112682
CpCp13_RS01580,1.059283,1.693277,1.434427,3.688996,3.186076,2.840375
CpCp13_RS01585,233.143016,237.100552,251.605711,267.052534,263.589589,179.916984
CpCp13_RS01590,437.203283,448.488962,343.706512,397.201426,394.276849,314.176973
CpCp13_RS01595,10.584164,9.182535,10.110546,1.850104,1.118516,0.332384
CpCp13_RS01600,6.24883,6.507586,5.855954,0.526234,1.622539,0.6807
CpCp13_RS01605,8.381586,6.285554,6.16246,0.737531,1.170457,0
CpCp13_RS01610,10.351482,11.419071,8.824664,1.312725,0.71427,0
CpCp13_RS01615,4.778939,3.444882,4.173799,0.915797,0.934305,0
CpCp13_RS01620,6.082709,6.742803,4.932249,1.692059,0.728864,0.136796
CpCp13_RS01625,5.62623,3.785782,3.057887,3.136902,3.792947,1.352559
CpCp13_RS01630,14.495631,13.409129,14.446843,14.36907,12.63093,9.906325
CpCp13_RS01635,9.792294,9.745219,8.259222,8.590708,9.380058,6.540336
CpCp13_RS01640,0.131425,0.766038,0.48424,0,0.899296,0
CpCp13_RS01645,1.128456,1.143905,0.527981,0.695083,1.103093,0.561945
CpCp13_RS01650,0,3.54357,0,0,0,0
CpCp13_RS01655,0.17644,0.44714,0.144467,0.76076,0.517424,0
CpCp13_RS01660,0.393121,0.265669,0.214589,0.282505,0.128095,0
CpCp13_RS01665,0.845582,0.785728,0.692352,0.303826,0.413288,0.49126
CpCp13_RS01670,0.376604,0.19088,0.501082,0,0.092035,0
CpCp13_RS01675,0.327123,0.580302,0.401766,0.352615,0.31977,1.140296
CpCp13_RS01680,0.520106,0.461324,0.603297,0.747517,1.482881,0.604335
CpCp13_RS01685,14.440655,7.823949,6.115774,5.367587,4.380854,3.471569
CpCp13_RS01690,103.841501,103.324098,66.22933,89.547018,51.288022,51.438465
CpCp13_RS01695,34.686223,31.893917,33.678648,25.808535,31.506142,23.540091
CpCp13_RS01700,38.336863,37.047446,29.836382,30.713573,33.836149,20.837732
CpCp13_RS01705,167.559817,156.760314,150.839541,141.232499,128.844546,89.055694
CpCp13_RS01710,3.175925,2.414554,1.589138,3.423422,3.277017,1.845125
CpCp13_RS01715,1.584398,0.917765,1.482612,1.463887,2.433808,0
CpCp13_RS01720,0.443721,1.461837,2.089052,1.4349,1.734992,0.773369
CpCp13_RS01725,1.893627,2.879327,2.842543,2.721593,0.617022,2.20029
