Name,S1_Ct_Cp13,S2_A_Ct_Cp13,S2_B_Ct_Cp13,S3_Ct_Cp13,S4_A_Ct_Cp13,S4_B_Ct_Cp13,S1_LI_Cp13,S2_LI_Cp13,S3_LI_Cp13,S3_A_LI_Cp13,S3_B_LI_Cp13
CpCp13_RS00265,0.620799,0,3.478353,0.84087,0,0,3.695362,0,0,0,0
CpCp13_RS00270,0.44231,0,0.236026,0.342347,0.403016,0.282512,0.752254,0.345216,0,0,0.270811
CpCp13_RS00275,1.315729,0,0.650476,0.209665,0.987282,1.038121,1.151764,0.951399,0,4.333708,1.741465
CpCp13_RS00280,2.685298,2.069062,1.78174,0.957165,1.802864,2.132661,3.575477,0.579113,1.234965,0,1.590034
CpCp13_RS00285,1.950375,0.878556,2.101539,2.84499,0.478452,0.754634,5.358361,2.151626,0,2.800242,0.723378
CpCp13_RS00290,2.609656,3.217246,3.078311,2.790609,1.168052,1.228199,5.314337,2.063599,0.800118,0.854534,2.501823
CpCp13_RS10535,1030.264276,1053.40488,1202.624734,941.401764,730.129714,754.016894,1119.468727,1155.902665,142.897163,1144.617103,1406.148422
CpCp13_RS00295,0.429835,0.314634,0.225785,0.363881,0.171347,0.090085,0,0,0,0,0
CpCp13_RS00300,0,0,0.109719,0.318286,0,0.131329,0.116564,0,0,0,0
CpCp13_RS00305,1.295363,0,0,0,8.262005,0,0,0,0,0,0
CpCp13_RS00310,1.119067,0,0,0.866156,0,0,2.854865,0,0,0,0.513875
CpCp13_RS00315,1.058343,0.590244,1.835453,1.16047,0.482161,1.098476,1.874965,0.826021,0.88075,1.410975,0.404992
CpCp13_RS00320,4.08218,2.065854,1.835453,1.672442,1.285763,2.027956,9.149829,1.858548,3.082625,2.821949,1.619968
CpCp13_RS00325,9.1918,5.209004,6.645407,4.417835,2.101311,4.750454,25.102233,6.344805,5.757605,17.832622,9.954592
CpCp13_RS00330,1.607836,0,0.097921,0.189375,0.668804,0,3.22494,0.286443,0.610843,0.652386,0.112353
CpCp13_RS00335,0.119655,0,0,0,0,0,0.356128,0,0,0,0.192309
CpCp13_RS00340,0.262147,0.614044,0.146882,0.213046,0,0,0.468136,0.644496,0,0.978579,1.011173
CpCp13_RS00345,0.1726,0,0.96708,1.519606,1.100864,0.578775,1.284268,0.707235,1.508187,4.832276,3.883622
CpCp13_RS00350,0.473392,1.108857,0.795728,1.795382,0,0.95245,1.972536,1.939746,3.309225,1.767143,2.43467
CpCp13_RS00355,6.905996,6.221678,6.165604,7.144103,4.114317,4.071695,5.533846,1.554816,1.989398,7.082324,4.512902
CpCp13_RS00360,3.329908,5.292762,6.330245,7.442077,8.495445,7.257982,3.893525,2.144129,3.325368,2.663645,4.128547
CpCp13_RS00365,4.840346,9.587158,5.384235,7.42397,8.172104,8.115526,6.249792,3.208369,3.109947,2.657164,6.86417
CpCp13_RS00370,1.543018,3.493834,2.536034,2.703083,1.574653,2.13866,3.061652,2.444735,5.033653,3.839994,3.967896
CpCp13_RS00375,14.279529,8.158016,4.878572,5.896822,6.664156,8.175199,29.024456,7.849044,6.086611,3.250281,5.597567
CpCp13_RS00380,16.52386,3.172534,3.035529,6.604382,8.638644,3.633389,23.380603,4.439824,9.467977,0,4.353624
CpCp13_RS00385,4.378392,1.165431,3.066531,2.021768,0.952022,3.003134,3.702099,0.815485,2.608548,1.857303,1.599305
CpCp13_RS00390,0.175393,0,0.196547,0.190056,0,0,0.313214,0,0,0.654733,0.112757
CpCp13_RS00395,1.59729,0.492294,0.235517,0.683218,0.536196,0.84571,2.502108,0,2.938364,0,0.540455
CpCp13_RS00400,0.259358,0.911268,0.435958,0.56208,0.330845,1.739404,0.154385,1.91292,0,0.968169,0.83368
CpCp13_RS00405,0.154792,0.906446,0.578201,0.41933,0.658188,0.51906,1.535686,0.845688,3.606881,5.778277,2.653661
CpCp13_RS00410,0.905046,0.39749,0.443712,0.766176,1.443127,0.303488,1.683553,1.946947,0.395418,2.956172,1.527318
CpCp13_RS00415,0.264997,0.465539,0.742391,0.771715,0.084509,0.088861,0.315483,0.217167,0.231556,0.494608,1.107345
CpCp13_RS00420,0.177307,0,0.993455,0.480323,0.376962,0.59456,1.231341,0.242174,1.032879,0,0
CpCp13_RS00425,2.543967,1.65525,1.385797,1.340031,0.901432,1.658736,4.837409,1.158225,0,1.318955,4.770101
CpCp13_RS00430,3.164515,2.269117,1.628345,3.061661,4.531038,3.248424,7.111953,2.646276,2.257286,4.821609,1.868327
CpCp13_RS00435,20.674674,7.12171,10.221243,12.080062,5.171212,5.437494,43.43572,8.305439,0,0,9.121491
CpCp13_RS00440,120.579388,46.05015,64.256346,88.763259,58.516343,65.924492,79.9678,42.963466,34.357537,24.462797,44.235795
CpCp13_RS00445,18.589509,3.569132,4.411043,3.30222,5.507185,4.59855,7.256114,1.45683,2.662892,2.843996,2.448936
CpCp13_RS00450,13.761778,7.675025,5.507687,10.651591,16.718955,21.974831,3.900868,0,11.452512,0,0
CpCp13_RS00455,42.4773,21.443391,18.465631,16.863814,4.671139,4.91167,34.87586,3.00091,0,41.008231,11.770589
CpCp13_RS00460,1.879879,0,1.206908,1.060954,1.74856,0.787971,3.263794,1.283816,0,4.385921,1.510669
CpCp13_RS00465,1.507315,2.139808,2.815176,2.103522,1.747975,1.455071,2.243108,4.304692,1.99561,2.131332,4.771697
CpCp13_RS00470,3.434622,1.79579,0.85912,2.824541,0.782375,0.822662,5.476313,2.51313,3.215568,1.144753,3.351499
CpCp13_RS00475,5.545183,1.679592,1.339216,2.589977,1.52448,1.282384,7.825221,2.15464,3.341669,1.784468,1.843904
CpCp13_RS00480,2.217154,1.161122,1.615971,1.391694,0.80479,1.027567,3.218979,0.960192,0.945056,1.345773,2.143837
CpCp13_RS00485,6.36857,2.330862,4.739185,4.043535,6.346815,3.003134,9.181206,4.892911,1.739032,3.714607,4.478054
CpCp13_RS00490,5.368004,2.881501,2.25578,2.908378,4.565049,4.50011,5.458728,3.116051,0,3.339738,5.607838
CpCp13_RS00495,7.605528,1.912645,4.05225,4.297627,2.083213,2.816337,13.054062,3.250235,4.892587,12.192441,5.699341
CpCp13_RS00500,2.225971,1.862156,2.105692,2.414667,1.843838,0.807826,6.051542,2.211157,1.852447,2.877719,2.230177
CpCp13_RS00505,1.120905,0.750162,1.480394,1.279678,0.306398,0.268479,1.906368,1.57473,0.279844,2.988764,0.514719
CpCp13_RS00510,8.269132,4.675354,5.272282,7.183778,4.364827,4.780818,11.541889,3.505155,10.963018,7.450936,6.415925
CpCp13_RS00515,5.020053,3.09442,3.364533,3.41609,3.217179,2.980122,8.006747,3.051039,2.518598,5.379775,4.864093
CpCp13_RS00520,2.13023,24.948882,0,17.31234,0,7.143266,31.700972,0,0,39.760095,6.847402
CpCp13_RS00525,14.284434,3.217246,4.617466,5.209136,0.876039,5.526895,11.85506,6.190796,4.800707,2.563602,3.090488
CpCp13_RS00530,87.1444,9.112678,7.265959,13.489921,7.940271,9.740663,67.929578,5.10112,9.065165,17.427038,16.340132
CpCp13_RS00535,12.269963,1.876727,3.078311,2.294501,3.212144,3.224022,10.083614,2.626398,0.800118,3.418136,7.652636
CpCp13_RS00540,2.925562,0.815802,5.854287,2.453078,1.777108,5.138697,3.317081,3.425038,0,2.600225,7.612691
CpCp13_RS00545,0.715734,1.833683,2.506423,2.241874,0.855947,5.100124,1.464537,2.56616,0.781767,2.504804,3.307186
CpCp13_RS00550,0.809284,0.947819,1.587054,1.753876,1.290431,0.814128,3.010836,2.652865,3.535791,3.77626,1.820951
CpCp13_RS00555,1.778644,2.154948,1.374591,2.741466,3.911874,1.439658,3.285788,3.518382,2.143712,4.579012,6.308705
CpCp13_RS00560,1.255923,1.730488,0.827879,0.300202,1.884812,0.990933,2.858469,0,1.291099,1.378907,1.424835
CpCp13_RS00565,0.92875,1.087735,0.910667,1.761184,1.480924,0.77859,1.65854,0.951399,0.811548,3.466966,0.746342
CpCp13_RS00570,2.437968,7.368531,6.058872,8.468597,4.263627,5.142464,2.691784,0.483372,0,1.467869,1.51676
CpCp13_RS00575,1.143738,2.115041,3.035556,2.690698,1.151829,2.220425,2.68745,1.233295,2.104014,3.370662,2.321954
CpCp13_RS00580,0.642981,3.765238,1.200879,2.612746,3.417516,1.437398,2.392126,1.975983,2.809205,2.000173,4.133588
CpCp13_RS00585,2.048339,1.303793,2.619727,2.412581,0.284013,0.597275,4.903675,2.554442,1.556394,0.831122,1.574476
CpCp13_RS00590,1.609833,3.807074,3.729398,3.6901,3.159304,1.038121,5.528468,2.029652,3.787225,6.933933,4.179517
CpCp13_RS00595,3.127183,2.409541,2.997131,2.006412,1.837095,0.965846,5.633439,2.697639,1.438187,2.303997,2.380737
CpCp13_RS00600,969.303456,35597.605879,37532.321427,18577.795895,19297.766791,18666.292243,865.480036,34752.967023,22989.569457,38768.040624,37811.542135
CpCp13_RS00605,2.727535,1.093987,0.628046,1.568871,1.429857,1.252904,4.336988,1.071691,3.264849,2.092135,1.441213
CpCp13_RS00610,1081.614222,25940.494977,27425.815293,19446.812977,18499.020083,15870.834413,2296.50184,22413.893974,17698.464254,39861.652817,39683.505393
CpCp13_RS00615,118.942997,783.5847,1062.14009,694.777859,237.073378,498.562002,553.13984,335.070082,259.833055,416.256492,382.329811
CpCp13_RS00620,1.87536,5.038775,4.944797,8.546923,5.347407,4.069104,2.23265,0.632831,1.156731,1.235401,0.851033
CpCp13_RS00625,2.730525,1.142122,0.9562,2.971998,3.10994,2.125552,6.095136,2.397526,2.556377,7.280629,5.172152
CpCp13_RS00630,3.228661,1.157556,0.861442,1.725485,0.840524,1.399358,6.210188,2.339928,3.838403,6.969071,3.882997
CpCp13_RS00635,9.327879,0.827625,4.355363,3.637228,0.901432,1.421774,12.619329,6.949352,2.469929,10.551637,5.451544
CpCp13_RS00640,30.151738,10.803859,7.679137,7.496933,6.724194,9.368337,50.361354,5.399834,3.684867,6.887082,4.913756
CpCp13_RS00645,14.528878,6.620999,6.651827,7.159597,6.039593,5.829273,35.334121,8.918335,9.38573,15.036082,12.265973
CpCp13_RS00650,0,0,0,0,0,0,0,0,0,0,0
CpCp13_RS00655,135.925085,26.20623,16.092606,25.332101,17.040765,12.318794,163.01407,22.989978,9.338362,9.973465,13.955578
CpCp13_RS00660,0.102114,0,0,0.103735,0,0,0.379901,0.104604,0,0,0
CpCp13_RS00665,0.04494,0.263162,0,0.486963,0.28663,0.150695,1.070026,0.368284,0,0,0.577813
CpCp13_RS00670,0,0.538737,0,0.249224,0,0,0.547631,0.37697,0,0,0.591441
CpCp13_RS00675,2.715228,1.567619,0.857098,1.191389,0,0.512954,5.121963,0.313402,1.336667,2.141362,1.106343
CpCp13_RS00680,9.178234,0.839796,5.222942,5.827448,3.658752,3.847153,11.097586,4.701032,0,10.706808,4.148785
CpCp13_RS00685,2.543967,2.482874,2.771595,1.531465,0.901432,0.947849,4.627087,4.053788,0,2.637909,4.088658
CpCp13_RS00690,102.307235,998.503624,1375.752518,988.500405,478.52173,343.065174,101.498852,530.99785,595.978515,1909.533221,1600.432027
CpCp13_RS00695,6.127404,1.441669,1.877532,1.426485,2.093648,1.100728,6.838862,1.625252,2.390254,3.063378,2.59388
CpCp13_RS00700,7.011921,5.003255,7.676014,6.305146,4.509882,6.619195,14.029949,4.225248,5.148795,7.698551,4.072188
CpCp13_RS00705,5.065293,4.71264,6.498448,5.514387,6.340654,3.492318,9.017307,3.297569,4.136532,5.301429,5.478008
CpCp13_RS00710,0.872536,1.803351,1.150316,1.877052,1.473129,1.204766,2.215024,1.472165,2.690923,0.957978,1.237357
CpCp13_RS00715,1.926296,4.230082,2.698272,3.913743,0.767886,0.807427,2.866613,4.439863,4.208027,2.247108,0.773985
CpCp13_RS00720,1.263401,0.693597,1.21668,1.390409,0.755451,0.529568,1.880127,0.323553,1.37996,0,1.142176
CpCp13_RS00725,1.635045,1.025858,1.472336,1.028236,0.372448,0.979066,2.606987,0.478548,1.02051,0,3.378651
CpCp13_RS00730,23347.710824,26908.724961,27001.207315,21789.0155,17312.62212,14623.345246,23990.242438,14255.688233,16253.691662,20187.998362,16985.071784
CpCp13_RS00740,8.64306,6.659605,5.655162,6.238597,5.077452,5.434243,17.854695,7.921856,4.968662,12.205137,8.224997
CpCp13_RS00745,4.921506,3.735914,3.57458,6.542717,4.06908,2.139304,14.3766,4.854804,4.778274,3.402163,6.445049
CpCp13_RS00750,4.602579,2.605885,2.956402,3.151532,1.784059,2.941793,10.898362,1.719217,1.777576,2.373086,4.086881
CpCp13_RS00755,32.836247,56.973681,26.120955,44.476591,38.784093,27.187469,91.697632,51.493719,28.338313,83.230412,72.971925
CpCp13_RS00760,1.505804,0,1.807942,2.525227,2.28672,1.202235,7.042699,1.469072,0,1.338351,2.304881
CpCp13_RS00765,0.026865,0,0,0.072776,0,0,0.159914,0,0,0,0.086354
CpCp13_RS00770,0.044327,0,0,0.06004,0,0,0,0,0,0,0
CpCp13_RS00775,0.049004,0,0,0,0.156278,0,0.072926,0,0,0,0
CpCp13_RS00780,0.641571,0,0.179737,0.434503,0,0,0.954752,0,0,2.394944,0
CpCp13_RS00785,0.552941,0.294361,0.28165,0.204261,0,0.168561,1.944938,0,0.87848,0,0.484738
CpCp13_RS10540,7.07908,0,0,0,0,0,0,7.251718,0,0,0
CpCp13_RS00790,5.978827,3.059256,1.626191,3.931215,1.480924,0.583943,9.32929,1.902799,3.043305,4.333708,2.985369
CpCp13_RS00795,2.430983,2.454417,2.739829,2.57365,1.7822,1.405478,3.742408,1.373941,0.488324,1.564605,2.514896
CpCp13_RS00800,2.932894,0.644054,1.335188,1.986298,1.63681,1.475224,4.582809,1.351989,0,3.421348,1.060592
CpCp13_RS00805,0.168136,0,0,0.683218,0,0.187936,1.334458,0.459296,0,1.046067,0.900758
CpCp13_RS00810,0.447505,1.419464,0.522371,0.6314,0.713562,0.250102,1.387402,0.687627,0,0.696045,0.599357
CpCp13_RS00815,5.42713,3.227737,1.900522,2.010047,2.974725,1.563951,9.21211,3.127208,0,2.374118,2.589483
CpCp13_RS00820,0.875168,1.098194,1.751282,1.270085,0.39871,0.628861,1.302379,2.049168,2.184937,0,3.014075
CpCp13_RS00825,0.620809,0.30295,0.724669,0.735773,0.164984,0.520437,0.538916,1.165906,0.452056,0.965601,0.831469
CpCp13_RS00830,1.05236,2.054177,0.58964,2.090614,2.68484,0.470515,0.417618,4.312098,3.67824,3.928397,2.255135
CpCp13_RS00835,1.157002,0.846913,0.578814,1.455216,0.790663,0.277125,1.660297,1.269876,0.36107,1.542506,1.925943
CpCp13_RS00845,0.5368,0.261955,0.250642,0.424138,0.285316,1.050026,2.463085,0.091649,0,0.834935,0.718954
CpCp13_RS00850,7.880609,2.227228,2.472013,1.463074,1.45551,2.142642,15.621587,1.246764,0.797621,1.135824,1.613776
CpCp13_RS00855,4.72196,0.801489,0.191719,0.370776,0.872965,0.229479,10.998741,1.261856,0,1.277303,0.769911
CpCp13_RS00860,0.694084,1.422572,1.652812,2.350335,0.664044,0.581865,3.615146,1.990828,0,4.5342,1.784847
CpCp13_RS00865,1.029092,0.286965,0.274573,1.194773,2.500454,0.985954,2.187773,0.803191,1.712815,1.829304,0.630078
CpCp13_RS00870,1.467096,3.874456,3.465369,4.94846,2.752159,2.122176,2.311682,4.243409,4.021831,3.221517,5.363097
CpCp13_RS00875,2.528973,3.814554,3.24727,4.9955,3.238247,3.083769,6.101408,6.358861,4.687527,9.297464,7.236148
CpCp13_RS00880,6.239704,5.688732,4.500997,5.415135,3.812953,4.009293,11.009277,4.746061,3.264849,6.973783,6.125154
CpCp13_RS00885,22.661496,5.982545,4.94362,6.415742,5.331325,6.228723,13.82117,4.186157,3.246192,5.200449,5.373664
CpCp13_RS00890,8.255074,3.320123,2.350791,4.054819,1.446484,2.357499,4.994906,1.115129,0,1.69317,0.656087
CpCp13_RS00895,3.42171,1.335816,1.757427,1.390409,0.727471,0.764931,1.86707,0.467354,0.996638,0,0.733249
CpCp13_RS00900,13.587065,15.912932,0,25.765091,34.664069,9.112256,16.175648,11.134731,0,0,8.73484
CpCp13_RS10845,0.677213,2.379421,0.379445,1.375925,0.431936,0.454178,1.410911,0,0,1.263998,0.217683
CpCp13_RS00910,1.24824,0.913698,1.0928,0.634026,1.492771,1.569638,2.321957,3.836042,2.726802,0,3.761565
CpCp13_RS00915,2.690172,0.984588,1.884138,1.138697,0.536196,0.563807,4.128479,0.516708,0,0,1.351137
CpCp13_RS00920,0.327488,0,0,0.492869,0.696255,1.342197,0.649801,0.5964,0.635915,1.358326,0.818749
CpCp13_RS00925,0.739797,0.393835,0.062805,0.334018,0,0.300697,1.467904,0.091859,0,0,0.360303
CpCp13_RS00930,1.165563,0.455029,0.761913,0.578875,1.23902,0.521128,1.9658,0.636793,0.678984,1.450325,0.62443
CpCp13_RS00935,0.521491,0.15269,0.365241,0.671039,0.166307,0.612047,1.319293,0.106842,0.455682,0.486673,0.754325
CpCp13_RS00940,4.585318,2.647303,2.171126,2.449329,1.235738,2.165616,7.880813,1.058511,0,3.616207,1.868327
CpCp13_RS00945,2.451588,1.914171,2.594637,1.844816,1.389917,2.009546,4.053695,1.116167,0.952096,0,1.050717
CpCp13_RS00950,3.862607,0,2.705287,3.269931,0,0,5.74813,7.91361,8.437933,9.011798,3.103987
CpCp13_RS00955,18.608149,6.05376,5.792331,18.203379,6.59363,3.466578,15.384264,12.707965,0,0,3.322997
CpCp13_RS00960,4.106052,3.005585,0.479298,2.549082,2.182414,5.163284,6.619613,1.402062,2.989914,6.386517,1.099873
CpCp13_RS00965,1.678229,0.796829,1.016558,1.8431,1.301835,0.532339,2.294957,1.579765,0.792675,0.846585,0.801884
CpCp13_RS00970,2.543967,3.310499,1.187826,2.297197,0,0,2.103221,0,0,0,0.454295
CpCp13_RS00975,1.237656,0.874711,0.567921,1.430721,0.408307,0.643998,1.587771,0.524623,0.745843,0.597426,0.754508
CpCp13_RS00980,4.863593,3.036021,2.074937,3.143379,2.519445,2.980326,7.494923,1.618583,2.588736,2.764796,2.618811
CpCp13_RS00985,1.010557,1.479433,1.132435,1.026597,0.644547,0.677737,1.203086,1.035201,1.766063,1.886173,0.243625
CpCp13_RS00990,0.151584,0.88766,0.566218,0.615958,0,0.677737,0.300772,0.828161,0,0,0.487249
CpCp13_RS00995,0.439274,1.028939,0.738379,0.475996,1.400874,0.736504,0.784445,0,0,0,0.1412
CpCp13_RS10545,0.506591,0,0,0.171544,0,0,2.638587,0,0,0,0
CpCp13_RS10550,0.958724,0,0.244171,0.393512,0.185299,0.681943,2.853447,0.357129,0,0,0.933854
CpCp13_RS01015,14.597432,13506.042468,11614.153112,17864.160749,5772.474934,6901.855688,86.892543,10467.394629,382.660157,13350.373827,14944.631046
CpCp13_RS01020,2.628766,2.234587,2.019305,2.871496,1.622577,0.995242,3.154832,3.995877,4.445872,1.582746,2.725772
CpCp13_RS01025,15.932638,8.043115,11.543664,9.860151,15.768708,5.98747,28.206866,10.130393,4.800707,30.763222,8.829965
CpCp13_RS01030,1.088133,1.855142,1.041865,1.567155,0.527108,1.062314,3.894524,1.975363,2.647848,2.056675,3.276316
CpCp13_RS01035,17.138921,8.65207,3.311374,8.405291,11.308386,0,10.553895,7.26492,10.328351,5.515392,2.849548
CpCp13_RS10850,515.26868,317.617695,253.251264,257.132025,115.314196,45.469527,645.722872,111.123067,394.952084,421.812815,145.287476
CpCp13_RS01040,56.560865,15.500231,32.784007,19.813322,13.328312,21.021941,56.805007,12.558471,12.173222,10.400899,19.255631
CpCp13_RS01045,18.403536,9.664112,10.507695,12.328289,7.336268,11.403355,30.06636,11.680256,9.613724,10.267554,12.538551
CpCp13_RS01050,9.684619,8.664376,10.928002,13.208881,8.579144,7.44225,9.407927,12.676576,10.57811,22.595056,16.213643
CpCp13_RS01055,6.276737,0,2.705287,10.463778,6.15906,0,8.622195,7.91361,0,0,1.551993
CpCp13_RS01060,2.516613,2.456177,0.881291,1.988434,0.334402,1.758107,8.27041,2.792817,1.832528,0.978579,2.864991
CpCp13_RS01065,3.769632,2.8793,5.739497,3.218971,7.317505,1.923576,9.268314,4.029456,4.296431,4.588632,6.321958
CpCp13_RS01070,6.225772,4.194234,2.932656,3.805949,4.568273,2.586504,18.201778,4.28936,2.888561,9.255037,7.969418
CpCp13_RS01075,4.368347,3.062473,2.326941,2.375099,2.550739,1.547356,10.346257,2.521058,0.537619,3.445093,2.175458
CpCp13_RS01080,1.22445,0.256081,1.347624,0.592327,1.952428,0.14664,1.4317,1.075124,0.764238,0,0.281133
CpCp13_RS01085,12.073748,14.276528,16.912384,14.938616,7.404618,5.060838,16.585404,5.708396,4.057741,6.500562,5.597567
CpCp13_RS01090,0.350787,0.821671,0,0.190056,0.894947,0,0.626427,0.86242,1.22608,0,0.902054
CpCp13_RS01095,0.984564,0.549097,0.788077,0.952564,1.495163,0.157215,1.953569,1.344766,0,1.750151,0.301407
CpCp13_RS10555,2.418073,0,6.774265,0,0,0,0,0,0,0,0
CpCp13_RS01100,0.037363,0,0.209349,0,0,0,0.444819,0,0,0,0.720606
CpCp13_RS01105,0.066794,0,0,0.045236,0,0.447956,0.496994,0.136845,0,0,0.107351
